instrument_key,instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42909,NSE_INDEX|Nifty 50,23300.0,CE,1192.6,385017.6,119259.99999999999
NSE_FO|42910,NSE_INDEX|Nifty 50,23300.0,PE,104.0,176593.6,10400.0
NSE_FO|42911,NSE_INDEX|Nifty 50,23350.0,CE,1152.9,379689.6,115290.00000000001
NSE_FO|42912,NSE_INDEX|Nifty 50,23350.0,PE,111.6,180734.7,11160.0
NSE_FO|42913,NSE_INDEX|Nifty 50,23400.0,CE,1104.15,377039.5,110415.00000000001
NSE_FO|42914,NSE_INDEX|Nifty 50,23400.0,PE,119.4,185017.9,11940.0
NSE_FO|42915,NSE_INDEX|Nifty 50,23450.0,CE,1077.9,369322.7,107790.00000000001
NSE_FO|42916,NSE_INDEX|Nifty 50,23450.0,PE,127.95,189339.5,12795.0
NSE_FO|42917,NSE_INDEX|Nifty 50,23500.0,CE,1007.0,366384.7,100700.0
NSE_FO|42918,NSE_INDEX|Nifty 50,23500.0,PE,135.05,193666.1,13505.000000000002
NSE_FO|42919,NSE_INDEX|Nifty 50,23550.0,CE,994.9,358809.3,99490.0
NSE_FO|42920,NSE_INDEX|Nifty 50,23550.0,PE,145.65,197747.4,14565.0
NSE_FO|42921,NSE_INDEX|Nifty 50,23600.0,CE,932.45,356449.8,93245.0
NSE_FO|42923,NSE_INDEX|Nifty 50,23600.0,PE,154.25,202146.7,15425.0
NSE_FO|42924,NSE_INDEX|Nifty 50,23650.0,CE,901.7,348402.8,90170.0
NSE_FO|42925,NSE_INDEX|Nifty 50,23650.0,PE,165.25,206513.0,16525.0
NSE_FO|42929,NSE_INDEX|Nifty 50,23700.0,CE,853.7,345604.7,85370.0
NSE_FO|42930,NSE_INDEX|Nifty 50,23700.0,PE,173.35,210938.6,17335.0
NSE_FO|42931,NSE_INDEX|Nifty 50,23750.0,CE,830.0,338061.3,83000.0
NSE_FO|42932,NSE_INDEX|Nifty 50,23750.0,PE,187.35,215501.4,18735.0
NSE_FO|42933,NSE_INDEX|Nifty 50,23800.0,CE,777.1,336173.2,77710.0
NSE_FO|42934,NSE_INDEX|Nifty 50,23800.0,PE,198.05,219774.7,19805.0
NSE_FO|42935,NSE_INDEX|Nifty 50,23850.0,CE,743.55,327712.8,74355.0
NSE_FO|42936,NSE_INDEX|Nifty 50,23850.0,PE,206.1,224230.6,20610.0
NSE_FO|42939,NSE_INDEX|Nifty 50,23900.0,CE,703.75,326046.9,70375.0
NSE_FO|42940,NSE_INDEX|Nifty 50,23900.0,PE,223.55,228732.6,22355.0
NSE_FO|42943,NSE_INDEX|Nifty 50,23950.0,CE,678.9,317608.6,67890.0
NSE_FO|42944,NSE_INDEX|Nifty 50,23950.0,PE,240.2,232933.7,24020.0
NSE_FO|42948,NSE_INDEX|Nifty 50,24000.0,CE,635.0,315369.1,63500.0
NSE_FO|42949,NSE_INDEX|Nifty 50,24000.0,PE,253.55,237745.8,25355.0
NSE_FO|42953,NSE_INDEX|Nifty 50,24050.0,CE,609.75,307501.6,60975.0
NSE_FO|42954,NSE_INDEX|Nifty 50,24050.0,PE,267.75,242115.0,26775.0
NSE_FO|42955,NSE_INDEX|Nifty 50,24100.0,CE,566.0,305244.6,56600.0
NSE_FO|42956,NSE_INDEX|Nifty 50,24100.0,PE,284.05,246645.4,28405.0
